                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.97085,                0.79912,                 1.5392,                0.96742,                 0.9547,                0.98929,                0.75966,                0.99899,                0.98047,                 1.6219,             0.00029708,             0.00029708,             0.00029708
                     76,                0.99944,                0.79802,                  1.535,                0.96815,                0.95547,                0.98929,                0.77189,                0.92756,                 0.9524,                 1.5726,             0.00028608,             0.00028608,             0.00028608
                     77,                0.95738,                0.78541,                 1.4801,                0.96815,                0.95547,                0.98929,                0.77189,                0.92756,                 0.9524,                 1.5726,             0.00027508,             0.00027508,             0.00027508
                     78,                 1.0349,                 0.8427,                 1.6721,                0.97197,                0.95211,                0.98929,                0.79121,                0.89978,                0.97045,                 1.5425,             0.00026408,             0.00026408,             0.00026408
                     79,                0.87298,                0.72904,                 1.4127,                0.97197,                0.95211,                0.98929,                0.79121,                0.89978,                0.97045,                 1.5425,             0.00025309,             0.00025309,             0.00025309
                     80,                 1.0185,                0.84436,                 1.5278,                0.97426,                0.95224,                0.98929,                0.79833,                0.84897,                0.96094,                 1.4974,             0.00024209,             0.00024209,             0.00024209
                     81,                 1.0505,                0.87437,                 1.5467,                0.97426,                0.95224,                0.98929,                0.79833,                0.84897,                0.96094,                 1.4974,             0.00023109,             0.00023109,             0.00023109
                     82,                0.90685,                0.76815,                 1.3989,                0.97047,                0.96703,                  0.995,                0.81995,                0.79271,                0.91431,                 1.4567,             0.00022009,             0.00022009,             0.00022009
                     83,                 1.0566,                 0.8984,                 1.7038,                0.97047,                0.96703,                  0.995,                0.81995,                0.79271,                0.91431,                 1.4567,             0.00020909,             0.00020909,             0.00020909
                     84,                0.91524,                0.76379,                 1.4499,                0.97291,                0.96703,                  0.995,                0.83423,                 0.7658,                0.89836,                 1.4434,             0.00019809,             0.00019809,             0.00019809
                     85,                 1.1407,                0.92263,                 1.8043,                0.97291,                0.96703,                  0.995,                0.83423,                 0.7658,                0.89836,                 1.4434,             0.00018709,             0.00018709,             0.00018709
                     86,                  0.903,                0.76468,                 1.4687,                0.97647,                 0.9655,                  0.995,                0.83551,                0.75648,                0.89272,                 1.4412,             0.00017609,             0.00017609,             0.00017609
                     87,                0.95281,                0.84668,                 1.6206,                0.97647,                 0.9655,                  0.995,                0.83551,                0.75648,                0.89272,                 1.4412,             0.00016509,             0.00016509,             0.00016509
                     88,                0.87065,                0.73598,                 1.4216,                0.97969,                0.95562,                  0.995,                 0.8073,                0.78264,                0.91047,                 1.4606,              0.0001541,              0.0001541,              0.0001541
                     89,                0.85034,                0.73298,                 1.4675,                0.97969,                0.95562,                  0.995,                 0.8073,                0.78264,                0.91047,                 1.4606,              0.0001431,              0.0001431,              0.0001431
                     90,                0.82872,                0.73352,                 1.3883,                0.98044,                0.95364,                  0.995,                0.80525,                0.83043,                0.91332,                 1.4925,              0.0001321,              0.0001321,              0.0001321
                     91,                0.69511,                0.87924,                 1.3501,                0.98044,                0.95364,                  0.995,                0.80525,                0.83043,                0.91332,                 1.4925,              0.0001211,              0.0001211,              0.0001211
                     92,                 0.7075,                0.80776,                 1.4694,                0.97704,                0.95307,                  0.995,                0.80535,                0.84694,                0.90621,                 1.4978,              0.0001101,              0.0001101,              0.0001101
                     93,                0.71043,                0.88487,                 1.3494,                0.97704,                0.95307,                  0.995,                0.80535,                0.84694,                0.90621,                 1.4978,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.70469,                0.79099,                 1.2771,                 0.9756,                0.94969,                  0.995,                0.79969,                0.84513,                0.90618,                 1.4872,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.68029,                  0.809,                 1.3138,                 0.9756,                0.94969,                  0.995,                0.79969,                0.84513,                0.90618,                 1.4872,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.82043,                0.94353,                 1.3348,                0.97423,                0.94635,                  0.995,                0.79802,                0.83382,                0.90712,                 1.4713,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                 0.7984,                0.82041,                 1.3136,                0.97423,                0.94635,                  0.995,                0.79802,                0.83382,                0.90712,                 1.4713,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.75999,                0.85478,                 1.3328,                0.97486,                 0.9457,                  0.995,                0.80031,                0.81695,                0.89734,                 1.4507,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                  0.755,                0.83127,                 1.3636,                0.97486,                 0.9457,                  0.995,                0.80031,                0.81695,                0.89734,                 1.4507,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.68528,                0.80983,                 1.3685,                  0.974,                0.94614,                  0.995,                0.81678,                0.79731,                0.88454,                 1.4286,             2.2109e-05,             2.2109e-05,             2.2109e-05
